"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","37/1803","192/18860",0.192708333333333,2.0157954335367,4.59953410321507,2.72627127644864e-05,0.00649385566244303,0.00604700218603948,"ANAPC11/APC/ARHGEF10/ATM/BCCIP/BUB3/CCNB1/CDK1/CDT1/CENPF/CEP192/CHMP2B/CHMP5/CHMP7/EML4/GEN1/HASPIN/KIF11/KIF2A/KNL1/MIS12/MYBL2/NCAPH/NSMCE2/RAN/RCC1/RHOA/SEH1L/SKA1/SMARCA5/SMC4/SPC25/SPDL1/TENT4A/TUBG1/TUBG2/UHRF1",37
"GO:0006260","GO:0006260","DNA replication","50/1803","290/18860",0.172413793103448,1.80350756402165,4.48320796748899,2.88454836500574e-05,0.00649385566244303,0.00604700218603948,"ADRA2A/ATM/CAMSAP3/CDC34/CDC6/CDC7/CDK1/CDT1/CHRAC1/CHTF18/DDX11/DHX9/DNAJA3/DTL/DYNLL1/ENDOG/FZR1/GEN1/GMNN/HCRT/ING5/INO80C/INO80E/KAT7/LIG3/LRWD1/MCM2/MCM4/NFIC/NFIX/ORC6/POLA2/POLD3/POLG/POLH/RBBP8/RFC3/RMI1/RPA1/RTEL1/SENP2/SET/SETMAR/SMARCA5/TOP1/TWNK/UPF1/WDR18/WRNIP1/YY1",50
"GO:0006261","GO:0006261","DNA-templated DNA replication","34/1803","171/18860",0.198830409356725,2.07983445394777,4.61177459240401,2.91258491732473e-05,0.00649385566244303,0.00604700218603948,"ATM/CAMSAP3/CDC34/CDC6/CDC7/CDK1/CDT1/CHRAC1/DDX11/DNAJA3/DYNLL1/ENDOG/FZR1/GEN1/GMNN/KAT7/LIG3/LRWD1/MCM2/MCM4/ORC6/POLA2/POLD3/POLG/RBBP8/RFC3/RPA1/RTEL1/SENP2/SETMAR/TWNK/UPF1/WDR18/WRNIP1",34
"GO:0007098","GO:0007098","centrosome cycle","31/1803","150/18860",0.206666666666667,2.16180440007395,4.64459255403578,2.95588668108401e-05,0.00649385566244303,0.00604700218603948,"ARHGEF10/BNIP2/BRSK1/CCDC102B/CCNF/CDK1/CEP192/CEP250/CEP295/CEP44/CEP63/CEP72/CHD3/CHMP2B/CHMP5/CNTLN/CNTROB/DEUP1/DNM2/GADD45A/GEN1/KIF11/NAT10/NDEL1/NPM1/NUBP1/PARD6B/PDCD6IP/PKD2/PLK4/RBM14",31
"GO:0000725","GO:0000725","recombinational repair","38/1803","201/18860",0.189054726368159,1.97757744831031,4.53013234189733,3.32863410677667e-05,0.00704191037700309,0.00655734430469494,"ACTB/AP5S1/ATM/CDC7/CHD4/CTBP1-DT/EPC2/ERCC4/FAN1/FUS/GEN1/INTS3/KASH5/LIG3/MCM2/MCM4/MCMDC2/MORF4L1/MRGBP/NABP2/NSMCE2/NSMCE4A/PIAS1/PIAS4/PPP4R2/RAD51AP1/RBBP8/RMI1/RPA1/RTEL1/SENP3/SFR1/SHLD2/SMC5/SMCHD1/UHRF1/YEATS4/YY1",38
"GO:0000075","GO:0000075","cell cycle checkpoint signaling","36/1803","187/18860",0.192513368983957,2.01375603939957,4.52952934963289,3.55743192839696e-05,0.0072571611339298,0.00675778328353001,"APC/ATM/BABAM2/BRSK1/BUB3/CAMSAP3/CCNB1/CCND1/CDC5L/CDC6/CDK1/CDT1/CENPF/CEP63/DTL/FZR1/GEN1/HASPIN/INTS3/KNL1/NABP2/PABIR1/PLK3/RAD9A/RBBP8/SETMAR/SKA1/SPC25/SPDL1/TAOK1/TAOK2/TAOK3/TELO2/TRIM39/WAC/ZFYVE19",36
"GO:0000086","GO:0000086","G2/M transition of mitotic cell cycle","30/1803","145/18860",0.206896551724138,2.16420907682598,4.57536699741486,3.85921867479247e-05,0.00736849442539988,0.00686145553802624,"ATM/BABAM2/BRSK1/CALM3/CCNB1/CCND1/CDC25B/CDC6/CDC7/CDK1/CENPF/DNM2/DTL/FBXL15/FZR1/INTS3/KDM8/KHDRBS1/MARK3/NABP2/PABIR1/PLK3/PPM1D/PPME1/RBBP8/TAOK1/TAOK2/TAOK3/TRIM39/ZFYVE19",30
"GO:0000724","GO:0000724","double-strand break repair via homologous recombination","37/1803","195/18860",0.18974358974359,1.98478319609767,4.49417321270557,3.87000757636548e-05,0.00736849442539988,0.00686145553802624,"ACTB/AP5S1/ATM/CDC7/CHD4/EPC2/ERCC4/FAN1/FUS/GEN1/INTS3/KASH5/LIG3/MCM2/MCM4/MCMDC2/MORF4L1/MRGBP/NABP2/NSMCE2/NSMCE4A/PIAS1/PIAS4/PPP4R2/RAD51AP1/RBBP8/RMI1/RPA1/RTEL1/SENP3/SFR1/SHLD2/SMC5/SMCHD1/UHRF1/YEATS4/YY1",37
"GO:0051298","GO:0051298","centrosome duplication","20/1803","80/18860",0.25,2.61508596783139,4.70650703669972,4.69085510705998e-05,0.00864327882952472,0.00804851981527134,"ARHGEF10/BRSK1/CCNF/CEP192/CEP295/CEP44/CEP63/CEP72/CHMP2B/CHMP5/CNTROB/DEUP1/GEN1/NAT10/NPM1/NUBP1/PDCD6IP/PKD2/PLK4/RBM14",20
"GO:0051148","GO:0051148","negative regulation of muscle cell differentiation","19/1803","74/18860",0.256756756756757,2.68576396696197,4.72390697088051,4.85253504303121e-05,0.00866177505181071,0.00806574328040681,"BMP2/BMPR1A/BMPR2/FRS2/HDAC4/HEY2/ID2/IGF2/MED28/MIR199A1/NFATC1/NFATC3/PDCD4/PTBP1/RGS2/SMAD4/TNPO2/YBX1/YY1",19
"GO:0044839","GO:0044839","cell cycle G2/M phase transition","32/1803","162/18860",0.197530864197531,2.06624076470629,4.43119723318708,5.63574328057953e-05,0.00975495927838493,0.00908370360343488,"ATM/BABAM2/BRSK1/CALM3/CCNB1/CCND1/CDC25B/CDC6/CDC7/CDK1/CDK10/CENPF/DNM2/DTL/FBXL15/FZR1/INTS3/KDM8/KHDRBS1/MARK3/NABP2/NPM1/PABIR1/PLK3/PPM1D/PPME1/RBBP8/TAOK1/TAOK2/TAOK3/TRIM39/ZFYVE19",32
"GO:0031023","GO:0031023","microtubule organizing center organization","32/1803","163/18860",0.196319018404908,2.05356444099643,4.39212621043484,6.38047281323417e-05,0.0107191943262334,0.00998158796448057,"ARHGEF10/BNIP2/BRSK1/CCDC102B/CCNF/CDK1/CEP192/CEP250/CEP295/CEP44/CEP63/CEP72/CHD3/CHMP2B/CHMP5/CNTLN/CNTROB/DEUP1/DNM2/GADD45A/GEN1/KIF11/NAT10/NDEL1/NPM1/NUBP1/PAFAH1B1/PARD6B/PDCD6IP/PKD2/PLK4/RBM14",32
